X,Y,capacite,couverture,surveillance,lumiere,proprietaire,gestionnaire
5.0642237,45.0504086004633,8.0,False,False,,,public
1.8714406,46.1690392003155,8.0,False,False,,,
2.3468576,48.8838698997211,8.0,False,False,,Mairie de Paris,
5.7630243,45.2087350004469,7.0,False,False,,,
-1.851115,48.6757461997727,6.0,False,False,,,
1.5339936,43.5519734005416,2.0,False,False,,,
2.37497535000018,48.903725049719,14.0,False,False,True,,
0.1982821,48.0020924999372,6.0,False,False,,,
5.0769397,45.0301878004653,3.0,False,False,,,
4.8405743,45.7571333003785,8.0,False,False,,,Grand Lyon
5.7302669,45.18072520045,12.0,False,False,,,
0.0668876,43.2436695005409,4.0,False,False,,,
7.7103535,48.6015985997911,4.0,False,False,,,
2.3916561,48.8692001997247,22.0,False,False,,Mairie de Paris,
3.05725244999988,44.0937826005336,,False,False,,,
2.1236855,48.8027291997412,2.0,False,False,,,
0.5930834,43.6479787005407,3.0,False,False,,,
0.6545424,47.3297051000913,6.0,True,False,,,
6.1809903,48.6956371997678,8.0,False,False,,,
7.7419272,48.6084110997894,2.0,False,False,,,
2.8919298,42.6964384005266,,False,False,,,ville de Perpignan
7.7524142,48.6035232997906,8.0,False,False,,,
2.2425695,48.880078199722,6.0,False,False,,,
2.895355,43.9563360005341,,False,False,,,
4.80950526640404,45.7040493556029,7.0,True,False,,,
0.074002,43.2348215005408,6.0,False,False,,,
3.0838039,45.7714279003765,8.0,False,False,,,
1.4296622,43.6699912005404,,False,False,,,
3.8720618,43.6033966005412,8.0,False,False,,,
2.2239874,48.8956720997182,24.0,False,False,,,
2.3831444,48.8034485997411,4.0,False,False,,,
3.0360757,42.8281204005315,2.0,False,False,,,
5.7259731,45.1825163004498,10.0,False,False,,,
1.4528024,43.5734262005415,6.0,False,False,,,
4.8255267,45.7580198003783,10.0,False,False,,,Grand Lyon
1.370431,43.6445807005407,9.0,True,False,,,
2.4555793,48.9061880997156,,True,False,,,
2.3675277,48.8169279997377,7.0,False,False,,,
7.2581518,43.69728450054,10.0,False,False,,,
3.0846155,45.7856181003744,2.0,False,False,,,
6.2386237,46.1925477003116,10.0,False,False,True,,
2.5023353,49.0491136996802,8.0,False,False,,,
0.6843915,47.4096007000738,6.0,False,False,,,
2.2116748,48.7857225997455,,True,False,,,
4.8846363,45.7495301003795,8.0,False,False,,,Grand Lyon
-0.558837,47.4708375000602,4.0,False,False,,,
2.311465,48.8293373997347,12.0,True,False,True,,
7.7544297,48.5773469997971,28.0,False,False,,,
5.2814656,45.5900816004012,6.0,False,False,,,
2.4458405,48.7299975997593,40.0,True,False,True,,STIF
2.2833834,48.8710778997243,8.0,False,False,,Mairie de Paris,
1.9465374,47.9337729999534,2.0,False,False,,,
6.5809142,46.0601925003331,,True,False,,,
5.2476346,45.5864377004017,8.0,False,False,,,
2.3243471,48.8501036997295,12.0,False,False,,,
1.3819271,43.6343806005409,4.0,False,False,,,
7.76335903890354,48.578703349068,30.0,False,False,,,
3.8986912,43.6042757005412,6.0,False,False,,,
5.0523372,47.3051002000967,20.0,False,False,,,
5.7433908,45.1844424004496,4.0,False,False,,,
5.2739674921886,45.5839841237643,72.0,True,False,,,
2.2712601,48.9039708997161,2.0,False,False,,,
2.345512,48.8308322997343,8.0,False,False,,,
2.2347555,48.9099798997146,20.0,False,False,,,
2.23196,48.8726925997239,10.0,False,False,,,
4.8771844,45.7630293003777,6.0,False,False,,,
0.658502,47.3439555000882,2.0,False,False,,,
0.7514431,47.3609370000845,24.0,False,False,,,
2.2195806,48.7848823997457,16.0,False,False,,,
4.8515998,44.8951207004779,2.0,False,False,,,Valence Roman Déplacement
4.7932467,45.6950872003871,4.0,False,False,,,Grand Lyon
